1NDDPI, 1998
43
21
1 Type
3 PK Enroll
4 K Enroll
4 1-6 Enroll
4 7-8 Enroll
4 9-12 Enroll
5 PK-12 Enroll
6 Avg PK Member
7 Avg K Member
7 Avg 1-6 Member
7 Avg 7-8 Member
7 Avg 9-12 Member
9 Avg PK-12 Member
4 91 Census 0-5
5 91 Census 6-17
4 93 Census 0-5
5 93 Census 6-17
4 95 Census 0-5
5 95 Census 6-17
9 Tax Val
9 Tax Val / Pupil
6 G F Mill Levy
6 Tot Mill Levy
9 Tot Revenue
9 Fund Group 1 Exp
8 Avg Cost / Pupil
5 PK Teachers
5 K Teachers
6 1-6 Teachers
6 7-8 Teachers
6 9-12 Teachers
3 Bus Routes
5 Pupils Transport
8 Tot Mileage
4 81 Census 0-5
5 81 Census 6-17
4 87 Census 0-5
5 87 Census 6-17
3 Number Buses
10Transport Exp
4 97 Census 0-5
5 97 Census 6-17
232
14001New Rockford 1  1005003001860054013800413001.420027.940181.310068.000147.68000426.35013700406014400393013800387004121154010676.56189.51198.3800185114600190274503577.7501.0001.00010.00003.50010.5000500157119716.00200004500182004260080142720.22012700386
14012Sheyenne 12     1000001000800020005900169000.000011.500077.170030.010049.73000168.41004300101003700108003500122001418591012335.57162.13177.7600084490500083352903919.2600.0000.50006.60002.00005.0000400120075947.00061001040049001070060093344.67003100115
15006Hazelton-Moffit-1000001700670031006400179000.000012.000068.790023.000062.42000166.21005200125005100155006700155002984832018655.20168.04215.0100106432400106338305297.5800.0000.50006.00001.71004.1400700126117608.00075001940060001480080116627.33004900160
15010Bakker 10       2000000400060002000000012000.000004.000005.000004.000000.00000013.00001400051001700047001600047000525171013129.27083.97149.3200015089300014402205676.0500.0000.33001.33000.34000.0000200028035000.00022000600023000530020024526.22001700040
15012Union 12        3000000100040000000000005000.000001.000005.000000.000000.00000006.00001600034001400026001300023000479382022827.71083.44108.4700013886100012704805862.2600.0000.20000.80000.00000.0000200019029410.00008000290018000330020020105.44001000021
15015Strasburg 15    1000000901110036009300249000.000015.570112.270039.000077.98000244.82009300172008900197008900206002470878011386.53141.65141.6500110225800101447603662.6600.0000.50005.95002.02005.7200500153099528.00064002540078001770070096577.00008000217
15036Linton 36       1002003401680059011700380000.000026.640185.630055.600115.54000383.41015400377016000362017000343004593185013160.99187.72188.1600189498700186292904294.4300.1001.00009.00003.00009.0000700165139284.00152006160151004110140138043.33015000349
16010Carrington 10   1004005203560124023100767000.000056.460354.540123.600208.63000743.23023800606025500645024500677007741816011236.31163.73165.1600324594800326503303601.2500.3001.50018.00005.72011.4201400338218079.00248007650308006370150203214.11021800689
17003Beach 3         1000002101290059020300412000.000026.480128.470069.780201.62000426.35010300355010400333011900342003540470010664.07185.00188.1100258049700271681004971.0500.0000.60008.14003.23012.1900600202068228.00214003830152004050100132042.56012400332
17006Lone Tree 6     2000000900320009000000050001.000007.130029.910011.350000.00000049.39003400076002700078002800073001175655016558.52127.59182.2500041821200040642805063.3200.0000.50003.00001.06000.0000300069037760.70049000850055000750040041439.44003900071
18001Grand Forks 1   1043066039651366271008744055.840734.954310.601482.963008.50009592.85318207992340408161564208248074632018009027.70209.69251.0104821344404405332804059.9407.0016.50201.00089.80145.5404202287332992.04825090645126091250240405982.33540708267
18044Larimore 44     1006003402450108020600599000.000035.680253.790104.090198.91000592.47019400605018600604015300591006298357010445.04182.87223.4600286294200258712503537.9000.0001.00012.00003.59009.5500900323132691.00252006530238006450160151915.33015100603
18061Thompson 61     1001002602530098017800556000.000044.000254.430094.570184.23000577.23016700473015000504014400550004135929006362.97169.49212.3000220334000212336403250.4800.0001.00013.50003.68008.7200900392074472.00165003790202004310070132049.44012600650
18125Manvel 125      2002003001360056000000224000.000029.090159.100050.780000.00000238.97011100328009400341009800320002888171009627.24098.38196.5400117822100114100202846.4300.0001.00007.61003.22000.0000900223091306.60117001880095002480070123980.44008800300
18127Emerado 127     2000002400930029000000146000.000015.120094.860029.410000.00000139.39006300198005300189004400162001663734008849.65150.51214.5400080877900079122104112.5600.0000.50006.00001.50000.0000600195059453.00080002150071001890050060729.56003600188
18128Midway 128      1000002801620060011000360000.000013.130137.110051.730102.47000304.44012500381013700384013100373005107375013692.69170.31185.3100175405100173619304585.4100.0001.10006.40004.00008.5000000000000000.00132003180154003230150195774.00011500373
18129Northwood 129   1000001601750058012300372000.600016.800173.440061.490133.94000386.27010600421009600394009500393004758727010039.51150.88159.2900189357600178337803935.7400.0000.57009.50003.28008.3600700237135286.00183003920137004130090125273.33006300474
18140Grand Forks AFB 4000000000000000000000000000.000000.000000.000000.000000.00000000.00143501694113901708068301663000000000000000.00000.00000.0000918935800918935800000.0000.0000.00000.00000.00000.0000000000000000.00000000000000000000000278010.22069401434
19018Roosevelt 18    1000001200670025004700151001.150012.000063.940033.610037.69000148.39006900172005400179005500168001984973012724.19180.27198.8900099273200097683904987.0800.0000.50006.37001.71004.2900900106120341.40098002450071002090090121326.00006500156
19049Elgin-New Leipzi1000001901050057010200283002.130014.260124.900051.110109.66000302.06010900348010000319008900300003768538013039.92205.00205.0000193569900206782705454.0400.0000.50008.00005.51007.5101200198184222.50205004450164003930160198022.78007500289
20007Midkota 7       1000001100870040009600234000.000007.000097.200053.000095.76000252.96000000000008600276008000269004998853018935.05207.80209.0400184461200181412005611.7800.0000.50006.00002.75006.7501000219180950.00000000000000000000110223741.44006300264
20018Griggs County Ce1000002701550060015400396000.000022.100169.090060.500162.30000413.99015900433013900438012100409005217554014294.67190.07206.7800205199000213960104398.6100.0001.00009.00004.38009.3000800268168450.10222004400190004610150171908.11013500365
21006Mott 6          1003001301060031009200245001.950018.210105.110030.170101.26000256.70012100264009700273008800259003549415013974.07145.62150.5400134528500140226704465.0600.0000.50006.00002.25005.5000900115163744.00152004200144003050110111332.00007700254
21009New England 9   1001001201040037012000274002.130011.000113.790049.560113.86000290.34006800327005000318006700324004006024014105.72149.62149.6200151955700163325904460.3600.0000.50006.00001.60007.2400800202166080.00137004200149003700110132890.67006600284
21014Regent 14       1000000600460020003600108000.000006.000052.060021.190030.78000110.03005500110004300121003200115001930064016083.87158.03161.1300064461600067142105507.3300.0000.50004.75002.02004.3800300073065567.00066001510078001320050054073.22003100120
22011Pettibone-Tuttle2000000200390000000000041000.000001.600052.140000.000000.00000053.74002200065002000060001500053000995725017780.80170.44180.4400036811500034879204854.1400.0000.50003.00000.00000.0000300063036984.00029000740034000690030047384.33000700056
22014Robinson 14     2000000200110000000000013000.000001.750010.000008.000011.51000031.26001400064001900047001700050001047332027561.37184.29200.2000040182500036495309668.2700.0000.50003.03000.00000.0000300026042212.00047000920020000780040030880.56001400038
22020Tuttle-Pettibone1000000000000026005900085000.000000.000000.000022.390056.58000078.97002400124001900105001100091001180152016166.47179.07194.9900053779600054202605844.4800.0000.00000.00001.95005.4300400085065928.60064001170041001300070073770.56000600073
22026Steele-Dawson 261000001801100035010300266000.000022.220101.860050.100100.42000274.60009000266008000278007700258003029319012069.00164.96224.0900148628200141142904614.1100.1000.50007.64001.85007.6500600147115910.00144003140105002890090120229.89008500251
22028Tappen 28       1000000700690016003500127000.000010.000060.480019.250025.97000115.70007000115006000125005300124001377288011382.55177.89179.8900064648300066773504823.5400.0000.50004.32001.12003.0000600082072601.00072001330065001320100064034.00005500121
23003Edgeley 3       1003001001230056009300285002.110015.000134.460050.150104.80000306.52011100286009900311010300327004745240015160.51154.85193.4300152144700152435104211.0400.5000.50007.00003.51006.5000500161091872.00152002810125002600080119808.11009800313
23007Kulm 7          1000001200650024007000171000.000009.890066.290032.000069.33000177.51004600163004700182005500168003881877022969.69155.63165.6100109326000102396104812.8800.0000.50005.53001.63004.5800700131150535.00063002380068001630110150335.22004600169
23008LaMoure 8       1004001901670080011500385000.000035.800173.320072.610118.58000400.31013800402013500401011900402004250186011126.14168.23177.9900174519300185910403666.6600.0000.60010.20004.20006.5000600192106775.00193004210174003840100114155.00011900382
23009Marion 9        1000000000000038008900127000.000000.000000.000040.700094.58000135.28004100134003200133003300129002301150019337.39140.28146.2800072182600074967504576.7400.0000.00000.00003.66008.2500500083089784.00074001710062001600050076549.00002900119
23011Verona 11       1000000400320014003600086000.000001.590036.350015.000039.46000092.40003400094002600087002100088001768726019225.28168.48171.1900058878800055489204826.8300.0000.50002.96001.57003.0000300073042824.00042001150044001010030034655.78001900092
24002Napoleon 2      1000001801250042008300268000.000017.610126.790048.000088.13000280.53010600301011200274010600269003521101012945.22167.56178.5200148448600150379504283.4500.2000.50007.00001.96006.6100700140132414.20148004590123003550130123706.78009500272
24056Gackle-Streeter 1000000700720046008400209000.000012.500079.210048.870079.47000220.05007700208006800235005500223004168472019388.24137.80150.4200121595400117098204527.4801.2000.50006.50002.83006.0000700174190646.00100002880123002360100134196.89005300215
25001Velva 1         1006003602010068017800489004.330034.300187.690079.880167.99000474.19009000368010100385013100395004481818011121.14150.61169.0400198443600192232503546.0100.5001.00012.43003.28009.2900600303139092.00184004030154003710090130692.00011600403
25004Newport 4       1004001300780036008300214001.500011.500083.430040.620086.89000223.94008100251006600231007100213002618595013027.84148.93153.5100110971600108460904214.9900.0000.50006.00001.56005.3000700151124214.00124003290105002620120123414.44006700201
25014Anamoose 14     1000000600490022003000107000.390007.000052.750016.000036.61000112.75004300114003600114002800114001520085014074.86162.82164.6600065510300069462505163.7600.0000.33003.51001.06003.9200400062052938.00067001920060001460070050866.44002500108
